Nfrequ1,Nfrequ2,Nfrequ3,max_disp_cm,Mass_Kg,util_average
1.6,2.7,4.4,1.14,146128,0.443998
0.9,1.3,3.2,9.975,283733,1.412896
1.6,3,5,3.135,121574,0.406303
0.3,0.9,1,717.06,98197,14.012054
0.5,0.8,1.1,388.74,239109,7.830127
2.7,2.9,4,10.26,113150,1.214695
3,5.8,7.1,1.14,259525,0.472494
0.6,0.9,1.3,405.84,222922,7.542265
2.6,4.2,7.3,0.855,235240,0.349706
2.5,3.5,5.1,3.42,118004,0.788176
3,5.4,7.1,0.855,212709,0.361679
2.2,4.4,4.4,3.42,169473,1.216847
2.4,4.6,6.5,1.425,267715,0.531514
3,5.8,7,2.28,154128,0.335803
1.1,2.6,4.5,4.275,214379,0.857107
1.3,2.8,4.1,4.845,144882,0.985654
1,1.8,2.2,9.12,138692,1.535931
2.5,4.7,6.3,1.71,148429,0.627905
1.8,2.6,2.7,8.55,107667,1.416408
3.9,7.5,8.4,1.14,193017,0.286288
0.2,0.6,0.8,3032.4,91144,14.556553
1.2,1.5,2.7,23.655,151534,2.062144
1.1,1.3,3.5,15.675,239457,0.846491
5.5,8.6,10.2,0.855,282035,0.222842
1.1,2.1,2.3,11.115,221556,1.806864
1,1.2,1.4,73.815,126673,2.930271
3.5,7,8,1.71,277339,0.259948
0.6,1,1.5,357.39,237246,6.499136
0.6,1,1.1,349.41,261679,9.543331
1.3,2.8,5.2,3.42,148042,0.38974
1.2,2.6,3.7,8.265,102672,0.860911
3.6,5.9,7.3,2.565,147645,0.362861
1.8,2.6,3.6,7.98,149277,0.516888
1.4,2.5,4.4,4.56,208172,0.587516
0.7,1.1,1.6,128.25,92120,6.246003
3.3,6.9,8.4,1.425,279356,0.409678
1.2,3.2,6.7,1.71,324145,0.332965
3,5.9,5.9,2.28,214413,0.503024
1.1,1.3,3.4,9.69,257119,0.768734
2,2.4,3,19.095,132695,1.602428
1.2,3.2,6.3,1.14,314973,0.248828
2.3,3.2,4.6,2.85,136116,0.75588
3.4,3.8,4.2,7.98,87185,0.783951
1,1.2,1.4,72.39,106324,3.544398
1.1,1.6,3.7,9.405,264944,1.029877
1.3,2.2,3.4,6.84,107885,0.918846
2.1,2.6,3.1,8.265,220928,1.832237
1.4,2.9,4.2,4.56,164688,0.70645
1.6,2.5,3.8,5.415,105641,0.762735
1.5,2.3,2.5,18.525,102413,0.937753
1.2,3.4,6.4,1.425,257232,0.238674
1,2.7,5.4,2.85,233018,0.647183
1.3,2.1,2.7,27.075,188134,2.202176
1.4,1.7,3.1,19.095,129054,1.01586
1.6,2.7,3.6,6.84,117315,0.641596
2.8,4.9,5.7,2.565,297637,0.607294
0.5,1.1,1.5,450.87,188639,7.034346
1.6,2.7,3.8,5.13,129342,0.961747
0.2,0.5,1.5,2046.3,146430,14.242659
0.5,1.1,1.5,389.31,198601,6.39257
0.6,1.1,1.4,372.495,171218,4.22488
1.1,2.1,3.1,20.235,251764,1.121052
0.8,1.1,2,111.435,258129,5.306251
1.6,2.1,2.5,16.245,155082,1.411937
1.5,2.9,5.1,4.275,169901,0.797065
1.2,3.3,6.6,1.995,292358,0.260361
0.3,0.8,1.3,1250.865,104500,8.449728
2.5,4.1,5.8,1.71,180088,0.318792
0.5,1,1.2,408.12,184201,6.70351
4.3,5.4,7,2.565,94205,0.428333
0.3,0.5,0.6,1315.56,169730,15.118739
1.5,3.1,5.6,0.855,218982,0.222621
1.8,2.3,3,8.55,144911,1.042793
0.7,1.2,1.7,174.135,166950,3.558814
1.9,3.5,6.2,1.995,237540,0.579458
0.8,1.2,2,74.1,198094,2.349802
1.6,1.7,2.3,23.085,211025,2.192288
2.1,4.2,6,1.14,140760,0.580859
2.3,3.6,4.5,3.99,201359,0.437937
2.4,2.8,2.9,14.25,146349,2.347859
0.5,1,1.2,502.74,212261,9.656626
3.1,5.4,5.6,3.135,191465,0.506737
